Plate,Sample_name,primer,NWFSCsampleID,dilution,techRep,SampleUID,PlateNo
307,DL-52193-1395-d5-2,DL,52193-1395,d5,2,DL-52193-1395-d5-2_307,2
308,DL-52193-1395-d5-3,DL,52193-1395,d5,3,DL-52193-1395-d5-3_308,2
320,MV1-52193-1395-d5-1_S1,MV1,52193-1395,d5,1,MV1-52193-1395-d5-1_S1_320,2
304,MFU-52193-1397-d1-1_S194,MFU,52193-1397,d1,1,MFU-52193-1397-d1-1_S194_304,2
306,DL-52193-1397-d1-1,DL,52193-1397,d1,1,DL-52193-1397-d1-1_306,2
307,DL-52193-1397-d1-2,DL,52193-1397,d1,2,DL-52193-1397-d1-2_307,2
308,DL-52193-1397-d1-3,DL,52193-1397,d1,3,DL-52193-1397-d1-3_308,2
320,MV1-52193-1397-d1-1_S2,MV1,52193-1397,d1,1,MV1-52193-1397-d1-1_S2_320,2
314,MFU-52193-140-d10-1_S75,MFU,52193-140,d10,1,MFU-52193-140-d10-1_S75_314,2.2
326,MV1-52193-140-d10-1_S16,MV1,52193-140,d10,1,MV1-52193-140-d10-1_S16_326,2.2
327,MV1-52193-140-d10-2_S16,MV1,52193-140,d10,2,MV1-52193-140-d10-2_S16_327,2.2
304,MFU-52193-1403-d5-1_S195,MFU,52193-1403,d5,1,MFU-52193-1403-d5-1_S195_304,2
306,DL-52193-1403-d5-1,DL,52193-1403,d5,1,DL-52193-1403-d5-1_306,2
307,DL-52193-1403-d5-2,DL,52193-1403,d5,2,DL-52193-1403-d5-2_307,2
308,DL-52193-1403-d5-3,DL,52193-1403,d5,3,DL-52193-1403-d5-3_308,2
320,MV1-52193-1403-d5-1_S3,MV1,52193-1403,d5,1,MV1-52193-1403-d5-1_S3_320,2
304,MFU-52193-1409-d1-1_S196,MFU,52193-1409,d1,1,MFU-52193-1409-d1-1_S196_304,2
306,DL-52193-1409-d1-1,DL,52193-1409,d1,1,DL-52193-1409-d1-1_306,2
307,DL-52193-1409-d1-2,DL,52193-1409,d1,2,DL-52193-1409-d1-2_307,2
308,DL-52193-1409-d1-3,DL,52193-1409,d1,3,DL-52193-1409-d1-3_308,2
320,MV1-52193-1409-d1-1_S4,MV1,52193-1409,d1,1,MV1-52193-1409-d1-1_S4_320,2
314,MFU-52193-1411-d5-1_S57,MFU,52193-1411,d5,1,MFU-52193-1411-d5-1_S57_314,2.2
